id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
62,Syria,18 881 361,19 314 747,19 747 586,20 178 485,22 517 750,22 530 746,17 185 170,18 028 549,19 454 263
63,Kazachstan,15 233 244,15 284 929,15 340 533,15 399 437,15 522 373,17 522 010,18 360 353,18 556 698,18 744 548
64,Mali,11 716 829,11 995 402,12 324 029,12 666 987,14 159 904,14 533 511,17 467 108,17 885 245,17 429 893
65,Chile,16 134 219,16 284 741,16 454 143,16 601 707,16 888 760,17 067 369,17 650 114,17 789 267,17 925 262
66,Holandia,16 491 461,16 570 613,16 645 313,16 715 999,16 847 007,16 730 632,17 016 967,17 084 719,17 151 228
67,Gwatemala,12 293 545,12 728 111,13 002 206,13 276 517,13 824 463,14 099 032,15 189 958,15 460 732,16 581 273
68,Ekwador,13 547 510,13 755 680,13 927 650,14 573 101,15 007 343,15 223 680,16 080 778,16 290 913,16 498 502
69,Kambodża,13 881 427,13 995 904,14 241 640,14 494 293,14 701 717,14 952 665,15 957 223,16 204 486,16 449 519
70,Zambia,11 502 010,11 477 447,11 669 534,11 862 740,13 881 336,14 309 446,15 510 711,15 972 000,16 445 079
71,Czad,9 944 201,9 885 661,10 111 337,10 329 208,10 758 945,10 975 648,11 852 462,12 075 985,15 473 116
72,Senegal,11 987 121,12 521 851,12 853 259,13 711 597,12 643 799,12 969 606,14 320 055,14 668 522,15 020 946
73,Zimbabwe,12 236 805,12 311 143,12 382 920,11 392 629,12 084 304,12 619 600,14 546 961,13 805 084,14 030 368
74,Rwanda,8 648 248,9 907 509,10 186 063,10 473 282,11 370 425,11 689 696,12 988 423,11 901 484,12 187 400
75,Gwinea,9 690 222,9 947 814,10 211 437,10 057 975,10 601 009,10 884 958,12 093 349,12 413 867,11 855 411
76,Burundi,8 090 068,8 390 505,8 691 005,8 988 091,10 216 190,10 557 259,11 099 298,11 466 756,11 844 520
77,Belgia,10 379 067,10 392 226,10 403 951,10 414 336,10 431 477,10 438 353,11 409 077,11 491 346,11 570 762
78,Tunezja,10 175 014,10 276 158,10 383 577,10 486 339,10 629 186,10 732 900,11 134 588,11 403 800,11 516 189
79,Benin,7 862 944,8 078 314,8 294 941,8 791 832,9 325 032,9 598 787,10 741 458,11 038 805,11 340 404
80,Boliwia,8 989 046,9 119 152,9 247 816,9 775 246,10 118 683,10 290 003,10 969 649,11 138 234,11 306 341
81,Somalia,8 863 338,9 118 773,9 558 666,9 832 017,9 925 640,10 085 638,10 817 354,11 031 386,11 259 029
82,Kuba,11 382 820,11 394 043,11 423 952,11 451 652,11 087 330,11 075 244,11 179 995,11 147 407,11 111 396
83,Haiti,8 308 504,8 706 497,8 924 553,9 035 536,9 719 932,9 801 664,10 485 800,10 646 714,10 778 440
84,Grecja,10 688 058,10 706 290,10 722 816,10 737 428,10 760 136,10 767 827,10 773 253,10 768 477,10 761 523
85,Czechy,10 235 455,10 228 744,10 220 911,10 211 904,10 190 213,10 177 300,10 644 842,10 674 723,10 686 269
86,Jordania,5 906 760,6 053 193,6 198 677,6 342 948,6 508 271,6 508 887,8 185 384,10 248 069,10 458 413
